datasetId,relativePath,sizeBytes,sha256,sourceGroupId,sourceClass,role,trainingEligible,notes
DS-090,Hemp_growth/C1/ryb_C1_20241212_13_44.jpg,5736,b21759b96c031a32c45f1115aeaa1b57913336974e4bea51fb3316f24a6a57d5,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241212_14_00.jpg,5717,ef0d784e8e199e0dce60f31cb2d11e6b4aef6b0b1692dded1683223bcf550a47,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241212_15_00.jpg,6407,db38785663b1921ac75954f4afac1cb54205f962a72161b4694aabd13352a59c,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241212_16_00.jpg,5787,96ff82540257e5055974725ebbecc6d8dacb80ddae31c420c3da49b9bc4481a3,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241212_17_00.jpg,5846,454b802ec82870615a847990f9f03d28be8ff9f0d26774950605071350580c28,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241213_08_00.jpg,5804,a95dd984b880381778dd53edd0ee222b161d1e207a05d2995cb70356bcceeaf2,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241213_09_00.jpg,5878,2e4adbef0531c8b9162514e2664dbc6cc4fc0bc5a196c4fe662ce810c61d6e0a,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241213_10_00.jpg,5928,f73ca91a834c67ef4d3aa6062f9a2cb72e7d674b0313677352a0d48a81cb1fd5,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241213_11_00.jpg,5871,2629c3c76498b88f080caa60e1a1d049d6ca8443417a0929c6d5d8d21612fb0c,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241213_12_00.jpg,6065,cf03e1eb211da70bcd478a1b03e10acf5529e23b8491a89a607a9da3b38cb32b,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241213_13_00.jpg,5989,0ea66c0f7738fc1aad7370ab0eb9f73cf9302b887dcaf422ac30630543f17561,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241213_14_00.jpg,5872,d3aba871f5e0f08389a7160db196d537d2d1c3538b58deebe696eb95deba1b38,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241213_15_00.jpg,5682,3546a7756fd1ce9ac1fbcd59aa8885cd604e1181d82bfb85e8e22328ae8f68bd,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241213_16_00.jpg,7062,1f712b98133edb19de2237ba54837f5bea5547b8a2db964430f0f8b68a382139,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241213_17_00.jpg,5859,973b91b33c1ac9a1ce8c9e0776fa4cce3d444aad575e5a5476cea5175875f083,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241214_08_00.jpg,6121,be604d81cbb15bcd916ff854c790f6ae380b2ddba55f20c9fc8852302b81a4cf,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241214_09_00.jpg,14391,2efd1b4bc7048ea9230b6442883c52883d3c59bd497e53b35e15760b9122f5ee,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241214_10_00.jpg,6253,aa789157f5e9c3a26dcdfb8b7df6414579ef6df052ddd5886d754722d2d4cd7d,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241214_11_00.jpg,6233,1d4e926b5e6c48d9b84e7622709765cd16cf2591d52323d23908601e6ad0f5b9,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241214_12_00.jpg,6230,6a554b46e427ce73a85a4ea0a1ac95503260e5a0dd384ff4df3c203159d7b5d6,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241214_13_00.jpg,6133,77a3997e76cc5d0f6042513d59b9769b591042b58e74e50779eb1a5c89f4211c,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241214_14_00.jpg,5902,6b418fcf307b129efc46d6034a1f1ea78f738e1d46e74e19a77d93a28c8785c9,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
DS-090,Hemp_growth/C1/ryb_C1_20241214_15_00.jpg,6100,5018c46cd9e7d5a025d649ae10668424dac80af14017431988957362808591be,DS090-C1,temporal-growth,source-data,true,All frames from this plant/time-series must remain in one split.
