dataset_id,image_path,filename,label,group_id,plant_id,dataset_rel_path,label_source,view,width,height,aspect_ratio,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,contrast,entropy,sharpness,dark_ratio,bright_ratio,sha256,split,source_status
DS-071,dataset/acquisition/acquired/DS-071/plants-2101397/Figure S1.png,Figure S1.png,figure_s1.png,DS-071|unknown_plant|figure_s1.png,unknown_plant,dataset/acquisition/acquired/DS-071/plants-2101397,path-derived,whole-plant,3300,6416,0.5143,128.9348,132.5123,95.864,83.4497,81.4558,75.11,123.5827,82.2259,6.587,448.2947,0.2357,0.0299,371600553ac63bde1eb68766bd6468d8e9a6f315b48fef48a06ea0c492376e92,train,public-reference-or-acquired
DS-071,dataset/acquisition/acquired/DS-071/plants-2101397/Figure S2.png,Figure S2.png,figure_s2.png,DS-071|unknown_plant|figure_s2.png,unknown_plant,dataset/acquisition/acquired/DS-071/plants-2101397,path-derived,whole-plant,830,759,1.0935,153.9141,151.7354,125.778,86.7829,85.6898,83.4547,149.3899,85.5019,6.2069,799.5931,0.168,0.2814,478d240a97259ba411ceb51c144d43068d2b4346d682b2086d20ba05440bdab0,train,public-reference-or-acquired
DS-071,dataset/acquisition/acquired/DS-071/plants-2101397/Figure S3.png,Figure S3.png,figure_s3.png,DS-071|unknown_plant|figure_s3.png,unknown_plant,dataset/acquisition/acquired/DS-071/plants-2101397,path-derived,whole-plant,1934,684,2.8275,112.3185,117.324,92.2042,89.0871,86.5228,83.0017,112.9608,86.7198,6.5106,594.5936,0.2547,0.1537,5f52b8b30b06ad80db2090b2655b2bde3134c0d37ca72757f32d36eef910a1f0,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241212_13_44.jpg,ryb_C1_20241212_13_44.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.8387,249.9573,250.1109,25.8685,25.6365,24.6841,249.4333,25.5776,0.7137,11.6815,0.0,0.9536,b21759b96c031a32c45f1115aeaa1b57913336974e4bea51fb3316f24a6a57d5,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241212_14_00.jpg,ryb_C1_20241212_14_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.899,249.9095,249.9771,25.595,25.6176,25.0336,249.4059,25.5287,0.6514,12.3268,0.0,0.9529,ef0d784e8e199e0dce60f31cb2d11e6b4aef6b0b1692dded1683223bcf550a47,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241212_15_00.jpg,ryb_C1_20241212_15_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.9354,248.8685,248.796,27.8251,28.0554,27.3302,248.4093,27.891,1.1186,11.6552,0.0,0.9509,db38785663b1921ac75954f4afac1cb54205f962a72161b4694aabd13352a59c,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241212_16_00.jpg,ryb_C1_20241212_16_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.3401,249.3966,249.6658,27.4136,27.2804,25.97,248.9015,27.16,0.6913,12.7516,0.0,0.9513,96ff82540257e5055974725ebbecc6d8dacb80ddae31c420c3da49b9bc4481a3,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241212_17_00.jpg,ryb_C1_20241212_17_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.0541,249.1251,249.2973,28.5298,28.2461,27.2675,248.6158,28.209,0.727,12.8844,0.0,0.9508,454b802ec82870615a847990f9f03d28be8ff9f0d26774950605071350580c28,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241213_08_00.jpg,ryb_C1_20241213_08_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.9138,249.9601,250.342,25.1537,25.0446,23.2638,249.4812,24.8586,0.6332,11.3244,0.0,0.9515,a95dd984b880381778dd53edd0ee222b161d1e207a05d2995cb70356bcceeaf2,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241213_09_00.jpg,ryb_C1_20241213_09_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.8848,249.9644,250.2074,25.2883,25.0236,23.8049,249.4585,24.9503,0.6344,12.535,0.0,0.9514,2e4adbef0531c8b9162514e2664dbc6cc4fc0bc5a196c4fe662ce810c61d6e0a,train,public-reference-or-acquired
